question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
303,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,労働基準法で定める労働条件の基準は最低のものであり、当事者は労働条件の向上を図るよう努める。,１日の拘束時間は原則20時間以内である。,労働基準法の基準を理由に労働条件を低下させることは当然に認められる。,１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回まで16時間とできる例外がある。,,,,,"1,4",正しい記述は「１日拘束時間」と「労働条件の最低基準」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
304,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,勤務終了後の休息期間は、継続11時間以上与えるよう努めることを基本とし、継続９時間を下回ってはならない。,休息期間は分割して合計８時間あれば常に足りる。,使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,休憩は労働時間の終了後にまとめて与えればよい。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「休息期間」「休憩時間」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
305,single,労働基準法関係,,運転時間に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,運転時間は拘束時間と同じ意味である。,運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,運転時間は２日平均で１日12時間以内である。,２週間平均の運転時間基準は１週間60時間以内である。,,,,,2,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,1:（1）の内容は、正答（2）「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が示す論点とずれています。;3:（3）の内容は、正答（2）「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が示す論点とずれています。;4:（4）の内容は、正答（2）「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が示す論点とずれています。,
306,combination,労働基準法関係,,改善基準の拘束時間について、次のＡ、Ｂ、Ｃ、Ｄに入るべき字句を選択肢から選びなさい。拘束時間は１年（Ａ）以内かつ１ヵ月（Ｂ）以内が原則である。労使協定がある場合でも、１年（Ｃ）以内の範囲で１ヵ月（Ｄ）までの延長に限られる。,,,,,,"3,300時間","3,400時間",284時間,310時間,293時間,320時間,"3,516時間",６ヵ月,A-1;B-3;C-2;D-4,"現行の改善基準では、拘束時間は１年3,300時間・１ヵ月284時間が原則で、労使協定による例外でも１年3,400時間・１ヵ月310時間が上限である。",,,,
307,single,労働基準法関係,,休日労働に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,休日労働は１週間に３回まで自由に行える。,休日労働をした日は拘束時間の限度を適用しない。,休日労働は36協定があれば改善基準と無関係に行える。,改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,,,,,4,休日労働については、「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,休日労働については、「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,休日労働については、「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,1:（1）の内容は、正答（4）「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。」が示す論点とずれています。;2:（2）の内容は、正答（4）「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。」が示す論点とずれています。;3:根拠の記述が異なります。解説では「主体又は義務の内容が法」が根拠ですが、（3）は「36協定」を根拠とする内容です。,
308,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,労働基準法の基準は努力目標であり、下回る労働条件も自由に定められる。,全労働日の５割出勤すれば年次有給休暇が付与される。,労働基準法で定める労働条件の基準は最低のものであり、当事者は労働条件の向上を図るよう努める。,雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。,,,,,"3,4",正しい記述は「労働条件の最低基準」と「年次有給休暇」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
309,single,労働基準法関係,,労働条件明示に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,明示された労働条件が事実と違っても、労働者は直ちに契約解除できない。,使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,労働条件は採用後１年以内に口頭で伝えれば足りる。,賃金や労働時間は明示事項ではない。,,,,,2,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,1:（1）の内容は、正答（2）「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が示す論点とずれています。;3:（3）の内容は、正答（2）「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が示す論点とずれています。;4:（4）の内容は、正答（2）「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が示す論点とずれています。,
310,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。法令上の原則に基づいて判断しなさい。,,,,,,平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。,平均賃金は、３ヵ月間の賃金総額を所定労働日数で除して計算するのが原則である。,就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,就業規則の作成時に労働者側の意見を聴く必要は一切ない。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「平均賃金」「就業規則の意見聴取」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
311,single,労働基準法関係,,休憩時間に関する次の記述のうち、誤っているものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,業務上負傷疾病による休業期間及びその後30日、産前産後休業期間及びその後30日は、原則として解雇できない。,午後10時から午前５時までの深夜労働には、通常賃金の２割５分以上の割増賃金が必要である。,休憩は労働時間の終了後にまとめて与えればよい。,,,,,4,休憩時間については、「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,休憩時間については、「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,休憩時間については、「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:休憩時間については、「使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。;2:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（2）「業務上負傷疾病による休業期間及びその後30日、産前産後休業期間及びその後30日は、原則として解雇できない。」は本問の正答（4）とは異なるため不適です。;3:（3）の内容は、正答（4）「休憩は労働時間の終了後にまとめて与えればよい。」が示す論点とずれています。,
312,single,労働基準法関係,,休日に関する次の記述のうち、正しいものを１つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,４週間を通じ２日以上の休日で足りる。,休日は就業規則に定めれば一切与えなくてよい。,使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。,休日は１ヵ月に１日あれば足りる。,,,,,3,休日については、「使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,休日については、「使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。,休日については、「使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。,1:（1）の内容は、正答（3）「使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。」が示す論点とずれています。;2:（2）の内容は、正答（3）「使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。」が示す論点とずれています。;4:（4）「休日は１ヵ月に１日あれば足りる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。」です。問題文の条件（休日に関する次の記述のうち、正しいものを１つ選びなさい。試験対策として、もっとも適切な記述を選び…）と照らし、設問が問う論点に合う肢を選び直してください。,
313,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。安全確保の観点から判断しなさい。,,,,,,労働基準法令の要旨は社外秘として周知してはならない。,雇入れの日から６ヵ月継続勤務し、全労働日の８割以上出勤した労働者には、原則10労働日の年次有給休暇を与える。,使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,年次有給休暇は３ヵ月継続勤務で必ず20日付与される。,,,,,"2,3",正しい記述は「年次有給休暇」と「法令等の周知」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
314,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。法令上の原則に基づいて判断しなさい。,,,,,,業務上負傷疾病による休業期間及びその後30日、産前産後休業期間及びその後30日は、原則として解雇できない。,業務上負傷による休業中でも、30日前に予告すれば必ず解雇できる。,減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。,減給制裁は就業規則に定めなくても無制限に行える。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「解雇制限」「減給制裁」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
315,single,労働基準法関係,,解雇予告に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,解雇予告は３日前で足りる。,平均賃金を支払えば、解雇理由に関係なく常に即時解雇できる。,解雇予告制度は正社員には適用されない。,使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,,,,,4,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,解雇予告については、「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,1:（1）「解雇予告は３日前で足りる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」です。問題文の条件（解雇予告に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさ…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）の内容は、正答（4）「使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。」が示す論点とずれています。;3:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（3）「解雇予告制度は正社員には適用されない。」は本問の正答（4）とは異なるため不適です。,
316,combination,労働基準法関係,,改善基準の拘束時間について、次のＡ、Ｂ、Ｃ、Ｄに入るべき字句を選択肢から選びなさい。拘束時間は１年（Ａ）以内かつ１ヵ月（Ｂ）以内が原則である。労使協定がある場合でも、１年（Ｃ）以内の範囲で１ヵ月（Ｄ）までの延長に限られる。,,,,,,"3,300時間","3,400時間",284時間,310時間,293時間,320時間,"3,516時間",６ヵ月,A-1;B-3;C-2;D-4,"現行の改善基準では、拘束時間は１年3,300時間・１ヵ月284時間が原則で、労使協定による例外でも１年3,400時間・１ヵ月310時間が上限である。",,,,
317,single,労働基準法関係,,就業規則の意見聴取に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,意見聴取は行政官庁が直接行う手続である。,就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,就業規則の変更には、過半数代表者の同意が必ず必要である。,就業規則の作成時に労働者側の意見を聴く必要は一切ない。,,,,,2,就業規則の意見聴取については、「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,就業規則の意見聴取については、「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,就業規則の意見聴取については、「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。,1:（1）の内容は、正答（2）「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。」が示す論点とずれています。;3:（3）の内容は、正答（2）「就業規則の作成又は変更時は、過半数組合又は過半数代表者の意見を聴く必要がある。」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「就業規則の作成時に労働者側の意見を聴く必要は一切ない。」は本問の正答（2）とは異なるため不適です。,
318,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,"トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。",36協定は使用者だけが保管すれば労働者への周知は不要である。,１ヵ月の拘束時間には点呼時間を含めない。,,,,,"1,2",正しい記述は「法令等の周知」と「拘束時間月間」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
319,single,労働基準法関係,,36協定に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,36協定がなくても、繁忙期であれば自由に時間外労働を命じられる。,36協定は口頭合意だけで足り、届出は不要である。,36協定があれば、健康上特に有害な業務でも１日何時間でも延長できる。,労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,,,,,4,36協定については、「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,36協定については、「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,36協定については、「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。,1:（1）の内容は、正答（4）「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が示す論点とずれています。;2:（2）の内容は、正答（4）「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が示す論点とずれています。;3:（3）の内容は、正答（4）「労使協定を締結し届け出た場合、協定の範囲内で時間外労働又は休日労働をさせることができる。」が示す論点とずれています。,
320,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,午後10時から午前５時までの深夜労働には、通常賃金の２割５分以上の割増賃金が必要である。,深夜労働でも運転者には割増賃金が不要である。,運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,運転時間は拘束時間と同じ意味である。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「深夜割増」「運転時間」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
321,single,労働基準法関係,,減給制裁に関する次の記述のうち、誤っているものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,労働基準法で定める労働条件の基準は最低のものであり、当事者は労働条件の向上を図るよう努める。,減給制裁は就業規則に定めなくても無制限に行える。,減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。,"労使協定がある場合でも、１年3,400時間以内の範囲で、年６ヵ月まで１ヵ月310時間までの延長に限られる。",,,,,2,減給制裁については、「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,減給制裁については、「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。,減給制裁については、「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:（1）の内容は、正答（2）「減給制裁は就業規則に定めなくても無制限に行える。」が示す論点とずれています。;3:減給制裁については、「減給制裁は、１回の額が平均賃金１日分の半額を超えず、総額が一賃金支払期の賃金総額の10分の１を超えてはならない。;4:（4）の内容は、正答（2）「減給制裁は就業規則に定めなくても無制限に行える。」が示す論点とずれています。,
322,single,労働基準法関係,,産前産後に関する次の記述のうち、正しいものを１つ選びなさい。法令上の原則に基づいて判断しなさい。,,,,,,６週間以内に出産予定の女性が休業を請求した場合、使用者は就業させてはならない。産後８週間も原則就業禁止である。,産後２週間を経過すれば、本人の請求がなくても就業させられる。,産前休業は多胎妊娠でも６週間以内に限られる。,産前産後の就業制限は労働基準法にはない。,,,,,1,産前産後については、「６週間以内に出産予定の女性が休業を請求した場合、使用者は就業させてはならない。産後８週間も原則就業禁止である。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,産前産後については、「６週間以内に出産予定の女性が休業を請求した場合、使用者は就業させてはならない。,産前産後については、「６週間以内に出産予定の女性が休業を請求した場合、使用者は就業させてはならない。,2:（2）の内容は、正答（1）「６週間以内に出産予定の女性が休業を請求した場合、使用者は就業させてはならない。産後８週間も原則就業禁止である。」が示す論点とずれています。;3:（3）の内容は、正答（1）「６週間以内に出産予定の女性が休業を請求した場合、使用者は就業させてはならない。産後８週間も原則就業禁止である。」が示す論点とずれています。;4:根拠の記述が異なります。解説では「主体又は義務の内容が法」が根拠ですが、（4）は「産後の就業制限は労働基準法」を根拠とする内容です。 正答の解説と、主体・手続・効果のいずれかが一致していません。,
323,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。,１ヵ月の拘束時間は原則350時間以内である。,運転中断は１回５分を６回取れば常に足りる。,"トラック運転者の拘束時間は、１年3,300時間以内かつ１ヵ月284時間以内が原則である。",,,,,"1,4",正しい記述は「拘束時間月間」と「連続運転時間」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
324,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,"労使協定がある場合でも、１年3,400時間以内の範囲で、年６ヵ月まで１ヵ月310時間までの延長に限られる。",労使協定がなくても、１ヵ月310時間まで当然に延長できる。,使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,労働条件は採用後１年以内に口頭で伝えれば足りる。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「拘束時間延長」「労働条件明示」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
325,single,労働基準法関係,,１日拘束時間に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,１日の拘束時間は運転時間だけを合計する。,１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回まで16時間とできる例外がある。,１日の拘束時間は原則20時間以内である。,延長する場合の最大拘束時間に上限はない。,,,,,2,１日拘束時間については、「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回まで16時間とできる例外がある。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,１日拘束時間については、「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。,１日拘束時間については、「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。,1:（1）の内容は、正答（2）「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回…」が示す論点とずれています。;3:（3）の内容は、正答（2）「１日の拘束時間は原則13時間以内、延長する場合でも最大15時間以内である。ただし、一定の長距離貨物運送では週２回…」が示す論点とずれています。;4:正答の解説と、主体・手続・効果のいずれかが一致していません。 選択肢（4）「延長する場合の最大拘束時間に上限はない。」は本問の正答（2）とは異なるため不適です。,
326,combination,労働基準法関係,,改善基準の拘束時間について、次のＡ、Ｂ、Ｃ、Ｄに入るべき字句を選択肢から選びなさい。拘束時間は１年（Ａ）以内かつ１ヵ月（Ｂ）以内が原則である。労使協定がある場合でも、１年（Ｃ）以内の範囲で１ヵ月（Ｄ）までの延長に限られる。,,,,,,"3,300時間","3,400時間",284時間,310時間,293時間,320時間,"3,516時間",６ヵ月,A-1;B-3;C-2;D-4,"現行の改善基準では、拘束時間は１年3,300時間・１ヵ月284時間が原則で、労使協定による例外でも１年3,400時間・１ヵ月310時間が上限である。",,,,
327,single,労働基準法関係,,運転時間に関する次の記述のうち、正しいものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,運転時間は２日平均で１日12時間以内である。,２週間平均の運転時間基準は１週間60時間以内である。,運転時間は拘束時間と同じ意味である。,運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,,,,,4,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,運転時間については、「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。,1:（1）の内容は、正答（4）「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が示す論点とずれています。;2:（2）の内容は、正答（4）「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が示す論点とずれています。;3:（3）の内容は、正答（4）「運転時間は２日平均で１日９時間以内、２週間平均で１週間44時間以内とされる。」が示す論点とずれています。,
328,multi,労働基準法関係,,労働基準法に関する次の記述のうち、正しいものを２つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,連続運転時間は６時間まで認められる。,休憩は労働時間の終了後にまとめて与えればよい。,連続運転時間は４時間を超えてはならず、４時間以内又は４時間経過直後に合計30分以上の運転中断が必要である。,使用者は、労働時間が６時間を超える場合45分以上、８時間を超える場合１時間以上の休憩を労働時間の途中に与える。,,,,,"3,4",正しい記述は「連続運転時間」と「休憩時間」に関するもの。誤りの選択肢は、法令上の主体、期限、義務の範囲又は実務上の判断を取り違えている。,,,,
329,single,労働基準法関係,,休日労働に関する次の記述のうち、正しいものを１つ選びなさい。安全確保の観点から判断しなさい。,,,,,,休日労働は36協定があれば改善基準と無関係に行える。,改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,休日労働は１週間に３回まで自由に行える。,休日労働をした日は拘束時間の限度を適用しない。,,,,,2,休日労働については、「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,休日労働については、「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,休日労働については、「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。,1:根拠の記述が異なります。解説では「主体又は義務の内容が法」が根拠ですが、（1）は「36協定」を根拠とする内容です。;3:（3）の内容は、正答（2）「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。」が示す論点とずれています。;4:（4）の内容は、正答（2）「改善基準では、休日労働は２週間について１回を超えないものとし、拘束時間等の限度内で行う。」が示す論点とずれています。,
330,truefalse_group,労働基準法関係,,労働基準法関係に関する次の記述のうち、適切なものには「適」を、適切でないものには「不適」を記入しなさい。法令上の原則に基づいて判断しなさい。,,,,,,労働基準法で定める労働条件の基準は最低のものであり、当事者は労働条件の向上を図るよう努める。,労働条件の基準は使用者が一方的に下げることができる。,使用者が労働者を解雇する場合、原則として30日前の予告又は30日分以上の平均賃金の支払いが必要である。,解雇予告は３日前で足りる。,,,,,"適-1,3;不適-2,4",１と３は、それぞれ「労働条件の最低基準」「解雇予告」の原則に合っている。２と４は、要件や判断基準が原則と異なるため不適切である。,,,,
331,single,労働基準法関係,,労働条件明示に関する次の記述のうち、誤っているものを１つ選びなさい。実務での運行管理を想定して判断しなさい。,,,,,,使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,使用者は、毎週少なくとも１回又は４週間を通じ４日以上の休日を与える必要がある。,使用者は、労働基準法令の要旨、就業規則、36協定等を労働者に周知させる必要がある。,労働条件は採用後１年以内に口頭で伝えれば足りる。,,,,,4,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。,労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。」が基本である。正答の選択肢はこの原則と異なるため誤りである。,1:労働条件明示については、「使用者は、労働契約の締結に際し、賃金、労働時間その他の労働条件を明示しなければならない。;2:（2）の内容は、正答（4）「労働条件は採用後１年以内に口頭で伝えれば足りる。」が示す論点とずれています。;3:（3）の内容は、正答（4）「労働条件は採用後１年以内に口頭で伝えれば足りる。」が示す論点とずれています。,
332,single,労働基準法関係,,平均賃金に関する次の記述のうち、正しいものを１つ選びなさい。試験対策として、もっとも適切な記述を選びなさい。,,,,,,平均賃金は常に１年間の賃金総額から計算する。,平均賃金は労働者が任意に申告した金額で決まる。,平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。,平均賃金は、３ヵ月間の賃金総額を所定労働日数で除して計算するのが原則である。,,,,,3,平均賃金については、「平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。」が正しい。その他の選択肢は、要件、期限、主体又は義務の内容が法令上の原則と異なる。,平均賃金については、「平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。,平均賃金については、「平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。,1:（1）の内容は、正答（3）「平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。」が示す論点とずれています。;2:（2）の内容は、正答（3）「平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。」が示す論点とずれています。;4:（4）の内容は、正答（3）「平均賃金は、原則として算定事由発生日以前３ヵ月間の賃金総額を、その期間の総日数で除して計算する。」が示す論点とずれています。,
